siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,nombrePeriodesEtablissement,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,indiceRepetitionDernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,complementAdresse2Etablissement,numeroVoie2Etablissement,indiceRepetition2Etablissement,typeVoie2Etablissement,libelleVoie2Etablissement,codePostal2Etablissement,libelleCommune2Etablissement,libelleCommuneEtranger2Etablissement,distributionSpeciale2Etablissement,codeCommune2Etablissement,codeCedex2Etablissement,libelleCedex2Etablissement,codePaysEtranger2Etablissement,libellePaysEtranger2Etablissement,dateDebut,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement
5411582,17,541158200017,O,1954-01-01,NN,,,2024-03-30T01:16:04,true,5,,47,,,,CHAUSSEE,DU BOIS,80100,ABBEVILLE,,,80001,,,,,800010210_B,616773.7860598504,7001737.182158355,,,,,,,,,,,,,,,2010-12-25,F,,,,,68.20B,NAFRev2,N
5411699,19,541169900019,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,,80150,CRECY-EN-PONTHIEU,,,80222,,,,,,,,,,,,,,,,,,,,,,1999-01-10,F,,,,,57.03,NAP,N
5411806,10,541180600010,O,,NN,,,2024-03-30T17:45:17,true,1,,,,,,RUE,ALFRED FRANCOIS,80100,ABBEVILLE,,,80001,,,,,800010040_B,616663.0281498734,7001744.381647324,,,,,,,,,,,,,,,1984-12-25,F,,,,,62.11,NAP,N
5411954,18,541195400018,O,,NN,,,2024-03-30T10:34:45,true,1,,,,,,RUE,JULES VERNE,80550,LE CROTOY,,,80228,,,,,802280580_B,601994.8698864816,7013894.41416455,,,,,,,,,,,,,,,1984-12-25,F,,,,,38.50,NAP,N
5411962,11,541196200011,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,,80150,DOMVAST,,,80250,,,,,,,,,,,,,,,,,,,,,,1990-12-31,F,,,,,67.05,NAP,N
5411996,19,541199600019,O,,NN,,,2024-03-30T07:03:36,true,1,,10,,,,AVENUE,DE LA GARE,80100,ABBEVILLE,,,80001,,,,,800010800_B,615863.9765063404,7001141.841095297,,,,,,,,,,,,,,,,F,,,,,67.04,NAP,N
5420013,12,542001300012,O,,NN,,,2024-03-30T11:32:24,true,1,,264,,,,CHAUSSEE,D'HOCQUET,80100,ABBEVILLE,,,80001,,,,,800010950_B,615757.405433723,7001916.269409503,,,,,,,,,,,,,,,,F,,,,,62.21,NAP,N
5420021,15,542002100015,O,1900-01-01,NN,,,2025-02-15T02:12:15,false,6,,17,,,,RUE,DES LINGERS,80100,ABBEVILLE,,,80001,,,,,800011190_B,616546.4188528932,7001583.181356614,,,,,,,,,,,,,,,2008-09-05,F,,,,,46.69B,NAFRev2,O
5420021,23,542002100023,O,1995-02-14,NN,,,2024-03-30T12:39:13,false,6,,,,,,RUE,TUROLD,76630,ENVERMEU,,,76235,,,,,762350142_B,574985.791656942,6979212.0500528645,,,,,,,,,,,,,,,2009-12-31,F,,,,,46.69B,NAFRev2,O
5420021,31,542002100031,O,1996-03-15,NN,,,2024-03-30T12:39:13,false,5,,134,,,,RUE,HENRI BARBUSSE,80130,FRIVILLE-ESCARBOTIN,,,80368,,,,,803680640_B,595577.1655949035,6999277.967600873,,,,,,,,,,,,,,,2009-12-31,F,,,,,46.69B,NAFRev2,O
